bundle_id,bundle_name,refset_name,refset_url,score
3,Diarrheal diseases,Kawasaki disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/kawasaki_cod/20250627/,0.25
3,Diarrheal diseases,Grave’s disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/gravesdis_cod/20250627/,0.25
3,Diarrheal diseases,Mitochondrial disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mitochond_cod/20250627/,0.25
3,Diarrheal diseases,Huntington’s disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hunt_cod/20250627/,0.25
3,Diarrheal diseases,Crohns disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crohns_cod/20250627/,0.25
3,Diarrheal diseases,Coeliac disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/coeliac_cod/20250627/,0.25
19,Lower respiratory infections,Flu-like symptoms and upper and lower respiratory tract infection codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19flurti_cod/20250627/,0.3333333333333333
19,Lower respiratory infections,Chronic respiratory disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crdatrisk1_cod/20250627/,0.16666666666666666
19,Lower respiratory infections,Chronic respiratory disease (CRD) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crdatrisk2_cod/20250627/,0.14285714285714285
19,Lower respiratory infections,Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.14285714285714285
19,Lower respiratory infections,Foot ulcer or infection or ischaemia codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.125
25,Upper respiratory infections,Flu-like symptoms and upper and lower respiratory tract infection codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19flurti_cod/20250627/,0.3333333333333333
25,Upper respiratory infections,Chronic respiratory disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crdatrisk1_cod/20250627/,0.16666666666666666
25,Upper respiratory infections,Chronic respiratory disease (CRD) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crdatrisk2_cod/20250627/,0.14285714285714285
25,Upper respiratory infections,Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.14285714285714285
25,Upper respiratory infections,Upper gastrointestinal (GI) bleed codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/upgibleed_cod/20250627/,0.14285714285714285
26,Acute otitis media,Acute confusion codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/acconfus_cod/20250627/,0.2
27,Chronic otitis media,Chronic constipation diagnosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chronconstip_cod/20250627/,0.16666666666666666
27,Chronic otitis media,Chronic heart disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chronhd_cod/20250627/,0.16666666666666666
27,Chronic otitis media,Chronic respiratory disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crdatrisk1_cod/20250627/,0.16666666666666666
27,Chronic otitis media,Chronic hepatitis B codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hepbchron_cod/20250627/,0.16666666666666666
27,Chronic otitis media,Chronic hepatitis C codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hepcchron_cod/20250627/,0.16666666666666666
44,Epilepsy due to other bacterial meningitis,Epilepsy diagnosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/epil_cod/20250627/,0.16666666666666666
44,Epilepsy due to other bacterial meningitis,Epilepsy exception codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/epilexc_cod/20200812/,0.16666666666666666
44,Epilepsy due to other bacterial meningitis,Epilepsy resolved codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/epilres_cod/20250627/,0.16666666666666666
44,Epilepsy due to other bacterial meningitis,Epilepsy seizure frequency codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lszfreq_cod/20250627/,0.14285714285714285
44,Epilepsy due to other bacterial meningitis,Contraceptive counselling codes for people with epilepsy,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/epilcc_cod/20250627/,0.125
44,Epilepsy due to other bacterial meningitis,Pregnancy advice codes for people with epilepsy,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/epilpa_cod/20250627/,0.125
44,Epilepsy due to other bacterial meningitis,MenACWY other healthcare provider vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/menacwyohp_cod/20250627/,0.125
45,Acute encephalitis,Acute confusion codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/acconfus_cod/20250627/,0.25
46,Diphtheria remission,Codes for diabetes mellitus in remission,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dmrem_cod/20250627/,0.2
46,Diphtheria remission,Codes for in remission from serious mental illness,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mhrem_cod/20250627/,0.16666666666666666
46,Diphtheria remission,Codes for diabetes melitus in remission. (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/codes-for-diabetes-melitus-in-remission/20241205/,0.16666666666666666
46,Diphtheria remission,Attention Deficit Hyperactivity disorder in remission codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/adhdrem_cod/20250627/,0.14285714285714285
47,Mild impairment due to neonatal tetanus,Mild Cognitive Impairment codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mci_cod/20250627/,0.3333333333333333
47,Mild impairment due to neonatal tetanus,Mild Cognitive Impairment codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mci_cod/20250627/,0.2857142857142857
47,Mild impairment due to neonatal tetanus,Mild frailty diagnosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mildfrail_cod/20250627/,0.14285714285714285
47,Mild impairment due to neonatal tetanus,Mild and intermittent asthma diagnosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mildintast_cod/20250627/,0.125
47,Mild impairment due to neonatal tetanus,3-in-1 Diphtheria tetanus and polio vaccine administration codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/3in1vac_cod/20250627/,0.1
